fips,county_name,State,total_pop_18plus,prop_white,prop_foreign_born,median_age,median_income,median_rent,prop_less_than_hs,prop_bachelor_above,prop_unemployed,prop_nilf,prop_health_insurance,prop_low_ratio_ip
17083,Jersey County,   IL,17380,0.966905229,0.01260069,42.9,63028,645,0.077462481,0.202831116,0.018538047,0.403618804,0.958124884,0.091778203
17085,Jo Daviess County,   IL,17462,0.971511951,0.026400183,49.9,57946,669,0.077304569,0.249953506,0.023329445,0.3826029,0.948814856,0.100399042
17087,Johnson County,   IL,10230,0.876740836,0.022091887,43.7,52774,663,0.177562989,0.15986099,0.016202388,0.621091529,0.95996868,0.124260355
17089,Kane County,   IL,393676,0.729959577,0.224887979,37.3,79394,1148,0.153958847,0.331383841,0.033093133,0.3127933,0.916630687,0.102103082
17091,Kankakee County,   IL,85128,0.795601833,0.058970022,37.7,58902,887,0.117985236,0.207719327,0.031627411,0.390245285,0.947909376,0.135726795
17093,Kendall County,   IL,89708,0.81397655,0.12256432,35.2,96563,1414,0.07555219,0.361706424,0.032505311,0.266372749,0.949981705,0.05052868
17095,Knox County,   IL,40517,0.855686228,0.033911691,42.1,44129,634,0.10943364,0.189383601,0.02747978,0.465452276,0.950254701,0.166680797
17097,Lake County,   IL,529927,0.757846703,0.235594714,38.4,89427,1197,0.093649219,0.453246401,0.035079548,0.309608683,0.932431723,0.087994535
17099,LaSalle County,   IL,86024,0.92555838,0.044743327,41.9,58142,777,0.114086056,0.17837593,0.035963554,0.379934469,0.957133873,0.123511956
17101,Lawrence County,   IL,13139,0.877752136,0.026562143,42.4,46636,628,0.151231444,0.148785425,0.029262466,0.510450881,0.924460695,0.170969313
17103,Lee County,   IL,27577,0.905318561,0.030061283,43.2,58194,694,0.112258788,0.182040195,0.019715533,0.43666385,0.963839642,0.10192147
17105,Livingston County,   IL,28278,0.926109878,0.023481151,42,55160,715,0.100927892,0.147519069,0.02907828,0.426776533,0.953551509,0.163349566
17107,Logan County,   IL,23396,0.884977416,0.01765259,40.1,57308,689,0.112845433,0.199234281,0.030600821,0.453995107,0.955158345,0.091137371
17109,McDonough County,   IL,25256,0.89806096,0.041217928,33,44471,662,0.064255926,0.32226734,0.042051004,0.432098287,0.956754421,0.152545239
17111,McHenry County,   IL,234370,0.922964181,0.116921961,40.2,86799,1197,0.068543816,0.34443868,0.029190288,0.296137339,0.947784165,0.068841449
17113,McLean County,   IL,135227,0.832829213,0.076907718,33.1,67675,845,0.040522365,0.448321584,0.020942333,0.342638648,0.960268339,0.106061737
17115,Macon County,   IL,82008,0.778504283,0.024180568,41.1,50480,684,0.095844624,0.220877292,0.045391045,0.403606185,0.955395056,0.162861083
17117,Macoupin County,   IL,35780,0.967160108,0.009726104,43.7,55159,701,0.086877071,0.183789141,0.039305203,0.405046194,0.95495876,0.142590432
17119,Madison County,   IL,206631,0.87409735,0.028272621,40.2,60738,824,0.075490164,0.268268285,0.038414465,0.363493128,0.950112531,0.129325865
17121,Marion County,   IL,29068,0.924727764,0.01348562,42.2,47519,646,0.110344565,0.151661839,0.057120893,0.39917778,0.935314921,0.192785571
17123,Marshall County,   IL,9284,0.970631047,0.019388195,46,58465,623,0.071275583,0.188957639,0.032536383,0.412474012,0.96434516,0.112820513
17125,Mason County,   IL,10804,0.970119668,0.010459089,45.2,48417,664,0.108182095,0.160397445,0.040204613,0.390200126,0.958181141,0.174532033
17127,Massac County,   IL,11015,0.911175188,0.012619156,43.5,47481,692,0.132322124,0.139307454,0.022665617,0.484116566,0.946205022,0.196108551
17129,Menard County,   IL,9612,0.970420933,0.007282563,43.2,74684,783,0.05930166,0.239610761,0.032176973,0.338461538,0.973890124,0.09243922
17131,Mercer County,   IL,12225,0.970427866,0.012924335,44.9,59787,655,0.080736417,0.173686574,0.027432999,0.376630564,0.9707279,0.091240876
17133,Monroe County,   IL,26526,0.973162023,0.023938777,42,85747,872,0.040341286,0.350397614,0.019433729,0.319491957,0.974508763,0.045126175
17135,Montgomery County,   IL,23052,0.945781879,0.01409856,43.3,52748,644,0.123180451,0.166945068,0.023297868,0.49005425,0.963929868,0.162828066
17137,Morgan County,   IL,27759,0.899611645,0.021974855,40.8,51437,720,0.091115407,0.192863747,0.032016516,0.422408062,0.964178825,0.142483038
17139,Moultrie County,   IL,10965,0.977392255,0.012220702,40.7,61456,709,0.152516677,0.186476653,0.018869573,0.363588713,0.840100286,0.083713851
17141,Ogle County,   IL,39465,0.94277315,0.053262384,42.4,60986,745,0.097697433,0.214343951,0.037813379,0.349859362,0.953266033,0.093466553
17143,Peoria County,   IL,139285,0.727077748,0.063395197,37.5,55842,798,0.090829943,0.305890968,0.045886681,0.384327035,0.945930677,0.150010298
17145,Perry County,   IL,17212,0.883676062,0.015454334,42.2,52428,576,0.166915439,0.125316374,0.030001695,0.510028815,0.960681098,0.161808868
17147,Piatt County,   IL,12705,0.970306689,0.01519087,42.9,70849,851,0.06120511,0.28573895,0.031183612,0.340515933,0.960787912,0.058873359
17149,Pike County,   IL,12129,0.968925472,0.008079809,42,47492,568,0.113080015,0.178206065,0.034703342,0.420358228,0.951424445,0.157132335
17151,Pope County,   IL,3577,0.92624316,0.014257758,52.5,38056,313,0.140156062,0.130552221,0.058888889,0.625,0.96048407,0.145811789
17153,Pulaski County,   IL,4304,0.656987296,0.009061338,44,34640,519,0.11248074,0.125064201,0.041012999,0.548857015,0.945867393,0.204034135
17155,Putnam County,   IL,4606,0.966963818,0.031697785,48.1,63638,693,0.072997874,0.165603591,0.016159496,0.373557188,0.974273714,0.056476366
17157,Randolph County,   IL,26080,0.867967178,0.016411043,41.6,53816,680,0.156640375,0.133191217,0.024939332,0.479970133,0.94762472,0.146820809
17159,Richland County,   IL,12140,0.962704554,0.016639209,42,48894,566,0.108867667,0.210095498,0.034035397,0.392167855,0.956714405,0.123250675
17161,Rock Island County,   IL,111739,0.802131046,0.091731625,40.1,54858,748,0.11376865,0.235466201,0.03576013,0.37440154,0.947752419,0.145822785
17163,St. Clair County,   IL,200499,0.640761155,0.037890463,38.6,55179,861,0.089483778,0.280114841,0.042155876,0.357799801,0.938187226,0.143707705
17165,Saline County,   IL,18798,0.926648329,0.01250133,42.2,44090,622,0.133115176,0.192134634,0.042014211,0.448151581,0.957816483,0.227382026
17167,Sangamon County,   IL,152674,0.818790924,0.038022191,40.3,61912,820,0.075432739,0.344924289,0.036886155,0.365820435,0.960831007,0.13716823
17169,Schuyler County,   IL,5649,0.894434057,0.038767924,46.3,52357,672,0.10587103,0.204042348,0.040199278,0.462807078,0.905986632,0.09220702
17171,Scott County,   IL,3909,0.976223776,0.011767716,44.6,57118,542,0.065033784,0.158220721,0.035529238,0.394275845,0.973147587,0.147505423
17173,Shelby County,   IL,17103,0.982518287,0.005554581,45.1,52953,653,0.077036657,0.168132503,0.027263986,0.382996776,0.961492066,0.137590946
17175,Stark County,   IL,4273,0.971176795,0.013807629,45.1,54907,630,0.086878061,0.170404743,0.016949153,0.421920904,0.945556595,0.156065574
17177,Stephenson County,   IL,35355,0.858270685,0.027181445,45.3,48805,651,0.074714977,0.195564579,0.04327912,0.381421245,0.942621287,0.149699177
17179,Tazewell County,   IL,102821,0.957123015,0.020229331,41,63454,741,0.072796072,0.263002744,0.027468693,0.379101916,0.961961258,0.093009741
17181,Union County,   IL,13379,0.940770863,0.032737873,43.7,50625,612,0.115925441,0.217380641,0.034770011,0.460919957,0.941876376,0.165825839
17183,Vermilion County,   IL,59125,0.821873832,0.027331924,40.4,46515,685,0.115418836,0.147486985,0.035793087,0.452561902,0.942693677,0.197167139
17185,Wabash County,   IL,8980,0.958080721,0.021158129,43.8,50770,633,0.094201126,0.181795938,0.020835582,0.394904459,0.928920286,0.146046512
17187,Warren County,   IL,13390,0.881080135,0.07326363,39.8,50310,628,0.133487999,0.228071741,0.048072759,0.377869207,0.96024068,0.144361562
17189, WA County,   IL,11020,0.966993882,0.009800363,43.9,61763,716,0.077905365,0.209166502,0.030867998,0.343857181,0.964927473,0.077339901
17191,Wayne County,   IL,12679,0.966284599,0.007965928,43.4,50251,626,0.120607375,0.153752711,0.016847909,0.417674989,0.916967288,0.139765953
17193,White County,   IL,10874,0.975411018,0.019036233,44.3,49290,552,0.100573845,0.155139434,0.037484344,0.431204151,0.951800103,0.155883088
17195,Whiteside County,   IL,43540,0.943516138,0.038056959,43.4,54232,695,0.094049074,0.182294848,0.027368421,0.390138504,0.952933708,0.117356145
17197,Will County,   IL,514973,0.73467718,0.156610152,37.9,86961,1176,0.089626161,0.342900158,0.032218521,0.313205607,0.949834477,0.076956321
17199,Williamson County,   IL,52420,0.907290394,0.020660053,41.2,50734,735,0.076957024,0.243248923,0.032240133,0.431128405,0.947057016,0.137261842
17201,Winnebago County,   IL,217729,0.78773888,0.102577057,39.7,54489,799,0.12327948,0.228701632,0.052222124,0.35895059,0.941326395,0.16412942
17203,Woodford County,   IL,29300,0.968268734,0.016348123,40.5,72808,758,0.052306393,0.331990176,0.023680494,0.363155648,0.960165736,0.080640549
18001,Adams County,  IN,24287,0.964297829,0.012640507,33.5,52504,624,0.152919021,0.154613936,0.022738058,0.364520721,0.807540364,0.178819247
18003,Allen County,  IN,276268,0.789148494,0.082029044,35.9,54857,773,0.106498277,0.284830475,0.032751654,0.331361895,0.91403176,0.14300063
18005,Bartholomew County,  IN,62710,0.852305379,0.121081167,37.8,63431,937,0.094237845,0.334672954,0.027163643,0.355585601,0.914459012,0.120450481
18007,Benton County,  IN,6516,0.97360839,0.015653775,40.5,49488,708,0.101112062,0.160992301,0.020450199,0.365013977,0.905792045,0.161589404
18009,Blackford County,  IN,9422,0.971364355,0.018255148,44,43505,644,0.105844996,0.134658356,0.0331378,0.432335083,0.944589694,0.154001151
18011,Boone County,  IN,48175,0.928185646,0.055173845,38.1,83077,1011,0.063477036,0.492668622,0.013362318,0.302726312,0.954623974,0.062331209
18013,Brown County,  IN,12384,0.966011683,0.025113049,50,61030,841,0.078995713,0.288951098,0.02595884,0.42508575,0.91145938,0.12555457
18015,Carroll County,  IN,15592,0.960645611,0.027578245,42.9,54806,691,0.115552066,0.166726144,0.018507094,0.403639729,0.917643523,0.109735821
18017,Cass County,  IN,29067,0.841050686,0.10640933,40.8,49415,650,0.14628381,0.133418585,0.028364334,0.384556828,0.906230588,0.164347459
18019,Clark County,  IN,90073,0.875501043,0.044475037,39.1,55630,845,0.105547368,0.211775925,0.032081882,0.341493571,0.927613102,0.119824799
18021,Clay County,  IN,20207,0.96481665,0.010540902,41.5,55637,670,0.086355407,0.170296812,0.024901452,0.395827324,0.959709379,0.140124851
18023,Clinton County,  IN,23813,0.91587395,0.089278965,37.8,54286,726,0.143491823,0.163200681,0.024755885,0.360074551,0.899237026,0.117747649
18025,Crawford County,  IN,8148,0.970574321,0.002822779,43,41662,673,0.195560969,0.103396941,0.019409383,0.474041438,0.932673079,0.221003135
18027,Daviess County,  IN,23421,0.949486715,0.045557406,34.4,53629,692,0.261949915,0.132117676,0.022427387,0.38294048,0.741498683,0.134763204
18029,Dearborn County,  IN,38213,0.972170012,0.013791118,42.5,68658,744,0.103767253,0.228515568,0.024150562,0.349829481,0.949822253,0.08380744
