Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Rankin County,MS,74888,62.5,119874
Murray County,OK,6092,56.2,10836
Macon County,TN,8023,43.2,18577
Ferry County,WA,4066,63.8,6373
Panola County,TX,8418,47.3,17793
Ottawa County,OK,11960,51,23449
Hidalgo County,TX,535538,90.8,589575
Botetourt County,VA,15746,58.1,27117
Fillmore County,MN,13428,84.6,15871
St. Mary Parish,LA,21282,56.7,37551
King County,WA,1646272,91.4,1801166
Portage County,OH,86485,65.3,132407
Casey County,KY,5746,46.1,12457
Bamberg County,SC,6936,60.7,11424
Meagher County,MT,923,61,1513
Uintah County,UT,13705,57.1,23981
Door County,WI,20891,90.2,23171
McHenry County,ND,2352,53.7,4380
Franklin County,KY,29031,71.8,40406
Oregon County,MO,3271,40,8170
Delaware County,IN,53263,57,93381
Onslow County,NC,117167,78.5,149343
Bleckley County,GA,4556,44.2,10302
Republic County,KS,2292,63,3636
Cortland County,NY,26100,67.9,38456
Crittenden County,KY,3495,50.9,6865
Pike County,KY,28877,62.9,45924
Benton County,MO,9371,58.3,16074
Calcasieu Parish,LA,82296,53.9,152680
Hubbard County,MN,9790,57.8,16929
Hood County,TX,28369,58.3,48650
Fisher County,TX,1340,44.5,3012
Dorado Municipio,PR,25874,89.4,28952
Overton County,TN,7767,44.4,17511
Sullivan County,NY,43515,73,59574
Jefferson County,IN,17559,68.3,25712
Wayne County,NY,51595,72.9,70822
Warren County,TN,16458,52,31669
Tishomingo County,MS,7375,48.5,15220
Utah County,UT,316094,74,426950
Anderson County,KS,3303,56.6,5838
Jasper County,GA,4858,44.5,10924
Walla Walla County,WA,35879,74.4,48202
Lawrence County,OH,28833,61.9,46614
Davidson County,NC,79752,60.7,131285
Cooper County,MO,7545,54.3,13892
Campbell County,TN,17232,54.3,31754
Adams County,PA,55492,67.2,82612
Pitt County,NC,96881,68,142466
Sumter County,GA,14549,63.7,22842
Baldwin County,AL,111044,63.2,175680
Wilkin County,MN,3347,69.6,4810
Calaveras County,CA,19296,50.7,38077
Palo Pinto County,TX,10425,46.4,22476
Dougherty County,GA,40830,60.8,67169
Warren County,IN,3675,57.2,6429
Fairfax County,VA,787432,89.4,880707
Greene County,MO,136606,58.8,232457
Jefferson County,NY,75968,91,83485
Lares Municipio,PR,20218,95,19987
Upton County,TX,1336,51.2,2610
Clinton County,IL,20981,70.8,29653
Yabucoa Municipio,PR,21561,80.9,26654
Iberville Parish,LA,17410,67.2,25906
San Juan County,UT,8615,79.6,10822
Greene County,AL,3948,62.2,6343
Jackson County,OH,14709,59.6,24669
Butte County,CA,110236,63.1,174793
Wise County,TX,26000,49.3,52703
Pasquotank County,NC,21541,69.3,31068
Madison County,NC,12272,68.4,17939
Gunnison County,CO,11344,78,14547
DeWitt County,TX,8827,56.5,15632
Hatillo Municipio,PR,24003,73.8,32504
Hampton city,VA,78037,73.4,106343
Davis County,UT,200194,82.5,242674
